scientific_name	rank
Chrysochromulina	genus
Chrysococcus	genus
Chrysolykos	genus
Chylocladia	genus
Cirratulus	genus
Cladopelma	genus
Cladopyxis	genus
Cladotanytarsus	genus
Clausocalanus	genus
Clavelina	genus
Clavella	genus
Cliona	genus
Clione	genus
Closterium	genus
Clytemnestra	genus
Cocconeis	genus
Cochlodinium	genus
Coelastrum	genus
Coelomoron	genus
Coelosphaerium	genus
Collotheca	genus
Commation	genus
Cordylophora	genus
Corethron	genus
Coronosphaera	genus
Corophium	genus
Corycaeus	genus
Corymbellus	genus
Corymorpha	genus
Coscinodiscus	genus
Cosmarium	genus
Cottus	genus
Crangon	genus
Crassostrea	genus
Crisia	genus
Cruoria	genus
Cryothecomonas	genus
Cryptaulax	genus
Cryptochironomus	genus
Cryptomonas	genus
Cryptotendipes	genus
Cuspidaria	genus
Cyanea	genus
Cyanodictyon	genus
Cyanonephron	genus
Cyanophthalma	genus
Cyclops	genus
Cyclotella	genus
Cyclotrichium	genus
Cylichna	genus
Cymatopleura	genus
Cymatosira	genus
Cymbella	genus
Cymbomonas	genus
Cyrnus	genus
Daphnia	genus
Daturella	genus
Delesseria	genus
Dendrocoelum	genus
Desmarella	genus
Desmarestia	genus
Desmatractum	genus
Desmidium	genus
Desmosoma	genus
Diaphana	genus
Diaphanoeca	genus
Diaphanosoma	genus
Diaptomus	genus
Diastylis	genus
Diastyloides	genus
Diatoma	genus
Dicrotendipes	genus
Dictyocha	genus
Dictyosiphon	genus
Didinium	genus
Dinobryon	genus
Dinophysis	genus
Diplocirrus	genus
Diploneis	genus
Diplopsalis	genus
Diplosoma	genus
Dipolydora	genus
Dolichospermum	genus
Doliolum	genus
Donacia	genus
Dosinia	genus
Doto	genus
Dreissena	genus
Drepanocladus	genus
Dulichia	genus
Dynamena	genus
Dyopedos	genus
Ebalia	genus
Ebria	genus
Echinocardium	genus
Echinus	genus
Eclysippe	genus
Edwardsia	genus
Einfeldia	genus
Elakatothrix	genus
Electra	genus
Elodea	genus
Endochironomus	genus
Ensiculifera	genus
Ensis	genus
Entomoneis	genus
Ephemera	genus
Ephydatia	genus
Epipyxis	genus
Epithemia	genus
Epitonium	genus
Equisetum	genus
Ericthonius	genus
Eriopisa	genus
Erpobdella	genus
Erythrops	genus
Eteone	genus
Euastrum	genus
Paraeuchaeta	genus
Euchlanis	genus
Euchone	genus
Euclymene	genus
Eudesme	genus
Eudiaptomus	genus
Eudorella	genus
Eudorina	genus
Euglena	genus
Eumida	genus
Eunotia	genus
Euphausia	genus
Eupolymnia	genus
Eurycope	genus
Eurytemora	genus
Eusirus	genus
Euspira	genus
Euterpina	genus
Eutetramorus	genus
Eutintinnus	genus
Eutreptia	genus
Eutreptiella	genus
Evadne	genus
Exogone	genus
Fabricia	genus
Favella	genus
Filinia	genus
Flabellina	genus
Fragilaria	genus
Fragilariopsis	genus
Fragilidium	genus
Fucus	genus
Furcellaria	genus
Gadus	genus
Gammarellus	genus
Gammarus	genus
Gattyana	genus
Geodia	genus
Gibbula	genus
Glenodinium	genus
Glycera	genus
Gnathia	genus
Gobius	genus
Golfingia	genus
Gomphonema	genus
Goniochloris	genus
Gonyaulax	genus
Grammatophora	genus
Guinardia	genus
Gymnodinium	genus
Gyraulus	genus
Gyrodinium	genus
Gyromitus	genus
Gyrosigma	genus
Halecium	genus
Halicryptus	genus
Haliplus	genus
Balticina	genus
Halosiphon	genus
Halosphaera	genus
Haploops	genus
Harmothoe	genus
Harnischia	genus
Harpinia	genus
Helicostomella	genus
Helobdella	genus
Hemilamprops	genus
Hemiselmis	genus
Henricia	genus
Heterocapsa	genus
Heteromastus	genus
Heterosigma	genus
Hiatella	genus
Hildenbrandia	genus
Hippuris	genus
Holocentropus	genus
Holophrya	genus
Hyas	genus
Hydra	genus
Hydrobia	genus
Hydropsyche	genus
Hydroptila	genus
Hyperia	genus
Ianiropsis	genus
Idotea	genus
Ilyocryptus	genus
Inachus	genus
Ischyrocerus	genus
