taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
Lumbrineriidae	Lumbrineridae	Exact		
Lumbrineris fragilis	Scoletoma fragilis	Exact		
Lumbrineris frgm	Lumbrineris 	antag felstav		
Lumbrineris gracilis	Hilbigneris gracilis	Exact		
Lumbrineris impatiens	Scoletoma impatiens	Exact		
Lumbrineris magnidentata	Scoletoma magnidentata	Exact		
Lumbrineris scopa	Abyssoninoe hibernica	Exact		
Lumbrineris scopa aequilobata	Abyssoninoe hibernica	Exact		
Lumbrineris scopa aquilobata	Lumbrineris scopa aequilobata	antag felstav		
Lumbrineris tetraura	Scoletoma tetraura	exact		
Lymnaea peregra	Peregriana labiata	Exact		
Macoma baltica	Macoma balthica	Exact		
Macoma calcaria	Macoma calcarea	antag felstav		
Macropipus depurator	Liocarcinus depurator	antag felstav		
Macropipus dupurator	Liocarcinus depurator	Exact		
Malletia obtusa	Malletia pianii			
Mallomonas ploesslii	Mallomonas acaroides			Mallomonas ploesslii accepterad i worms, har synonym Mallomonas acaroides som är accepterad i dyntaxa
Malmgrenia furcosetosa	Pettibonesia furcosetosa	Exact		
Malmgreniella andreapolis	Malmgrenia andreapolis	Exact		
Malmgreniella antilopes	Malmgreniella andreapolis	antag felstav		
Malmgreniella castanea	Malmgrenia castanea	Exact		
Malmgreniella ljungmani	Malmgrenia ljungmani	Exact		
Malmgreniella lunulata	Malmgrenia lunulata	Exact		
Malmgreniella mcintoshi	Malmgrenia mcintoshi	Exact		
Mangelia brachystoma	Sorgenfreispira brachystoma	Exact		
Mangelia coarctata	Mangelia costata	Exact		
Mangelia nebula	Bela nebula	Exact		
Marenzelleria sp.	Marenzelleria	felstav		
MARENZELLERIA SPP	Marenzelleria	felstav		
Melanella sinuosa	Melanella polita	exact		
Melita dentata	Megamoera dentata	Exact		
Meridion circulare var. circulare	Meridion circulare	Exact		
Merona cornucopia	Merona cornucopiae	antag felstav		
mesodinium	Mesodinium	felstav		
Mesogloia vermicularis	Mesogloia vermiculata	Exact		
Mesoporus perforatus	Mesoporos perforatus	antag felstav		
Metazoa	Animalia	Exact		
Michteimysis mixta	Mysis mixta			
Microcystis flos-aquae	Microcystis flosaquae	Exact		
Microcystis reinboldii	Aphanocapsa reinboldii	exact		
Microphytobentos	Algae	antag felstav		
Minuspio cirrifera	Prionospio cirrifera	Exact		
Mnemiopsis leidyii	Mnemiopsis leidyi	felstav		
Modiolarca subpicta	Musculus subpictus	Exact		
Modiolus phaseolinus	Modiolula phaseolina	Exact		
Moera loveni	Maera loveni	antag felstav		
Moerella pygmaea	Asbjornsenia pygmaea	Exact		
Monia (patelliformis/squama)	Monia			
Monia (patelliformis/squama)/Novocrania anomala	Animalia			
Monia patelliformis	Pododesmus patelliformis	Exact		
Monia/Novocrania anomala	Animalia			
Moniporeia affinis	Monoporeia affinis	antag felstav		
Monoculodes carinatus	Kroyera carinata	Exact		
Monoculodes norvegicus	Deflexilodes norvegicus			
Monoculodes tenuirostratus	Deflexilodes tenuirostratus	Exact		
Montacuta ferruginosa	Tellimya ferruginosa	Exact		
Montacuta tenella	Tellimya tenella	Exact		
Mouegotia	Mougeotia	antag felstav		
Mougotia	Mougeotia	Felstav		
Mugga wahrbergi	Sosane wahrbergi	Exact		
Munida  rugosa	Munida rugosa	felstav		
Munida rugosa/Munida sarsi	Munida			
Musculus marmoratus	Musculus subpictus	Exact		
Musculus subpicta	Musculus subpictus	Exact		
Myriochela oculata	Galathowenia oculata	antag felstav		
Myriochele daniellseni	Myriochele danielsseni	antag felstav		
Myriochele oculata	Galathowenia oculata	Exact		
Myrtea spinnifera	Myrtea spinifera	antag felstav		
Mysella bidentata	Kurtiella bidentata	Exact		
Mysidacea	Mysida	Exact		
MYSIDAE	Mysidae	felstav		
Mysis relicta s. lat.	Mysis relicta s.lat.	antag felstav		
Mystacides azureus	Mystacides azurea	Exact		
MYSTACIDES SP.	Mystacides	felstav		
Nassarius incrassatus	Tritia incrassata	Exact		
Nassarius nitidus	Tritia nitida	exact		
Nassarius pygmaeus	Tritia pygmaea	Exact		
Nassarius reticulata	Nassarius nitidus	antag felstav		
Nassarius reticulatus	Tritia reticulata	exact		
Natica alderi	Euspira nitida	Exact		
Natica montagui	Euspira montagui	Exact		
Natica poliana	Euspira nitida	Exact		
Navicula capitata var. capitata	Hippodonta capitata var. capitata	Exact		växtplankton
Navicula lesmonensis	Hippodonta lesmonensis	Exact		växtplankton
Navicula meniscus	Navicula peregrina var. meniscus	OK	6017822	
Navicula transitans var transitans	Navicula transitans var. transitans	antag felstav		
Neanthes succinea	Alitta succinea	exact		
Neanthes virens	Alitta virens	Exact		
Nemalion elminthoides	Nemalion multifidum	Exact		
Nemalion helminthoides	Nemalion multifidum	Exact		
Nemata	Nematoda	Exact		
NEMATODA	Nematoda	felstav		
Nemertesia spp.	Nemertesia	felstav		
Nemertini	Nemertea	Exact		
NEMERTINI	Nemertea	felstav		
Nemertini indet	Nemertea	antag felstav		
Nephasoma diaphanes diaphanes	Nephasoma (Nephasoma) diaphanes diaphanes	exact		
Nephasoma diaphanes diaphanes	Nephasoma diaphanes			
Nephtys hombergi	Nephtys hombergii	antag felstav		
Nephtys insica	Nephtys incisa	antag felstav		
Nephtys longesetosa	Nephtys longosetosa	Exact		
Nephtys pulchra	Aglaophamus pulcher	Exact		
Nepthys incisa	Nephtys incisa	antag felstav		
Nereidae	Nereididae	Exact		
Nereis diversicolor	Hediste diversicolor	Exact		
Nereis elitoralis	Eunereis elitoralis	Exact		
Nereis virens	Alitta virens			
Neridae	Nereididae	antag felstav		
Notomastus latericius	Notomastus latericeus	Exact		
Nucula turgida	Nucula nitidosa	Exact		
Nuculoma tenuis	Ennucula tenuis	antag felstav		
NUDIBRANCHIA	Nudibranchia	felstav		
Nymphaea alba ssp. candida	Nymphaea candida	Exact		
Nymphon gracile	Nymphon brevirostre	OK	233568	
obest.	Biota			
Oblea complex	Oblea	antag felstav		
Obrovia neglecta	Hydrobia acuta neglecta	Exact		
Odontella mobiliensis	Trieres mobiliensis	Exact		
Odontella regia	Trieres regia	Exact		
Odostomia eulimoides	Brachystomia eulimoides	Exact		
OECETIS SP.	Oecetis			
Oid	Biota	Special		
Oidentifierat taxa	Biota			
Oithona nana	Oithona minuta	Exact		
Oligochaeta	Oligochaeta		3000107	
Onuphis quadricuspis	Paradiopatra quadricuspis	Exact		
Ophelina borealis	Ophelia borealis	antag felstav		
Ophiodromus flexuosus	Oxydromus flexuosus	Exact		
Ophiopholis aculeata/Ophiothrix fragilis	Ophiurina			
Ophiothrix fragilis/Ophiocomina nigra	Ophiurina			
Ophiotrix	Ophiothrix	antag felstav		
Ophiotrix fragilis/Ophiocomina nigra	Ophiurina	felstav		
Ophiura affinis	Ophiocten affinis	Exact		
Ophiura sarsi	Ophiura sarsii	Exact		
Ophiura texturata	Ophiura ophiura	Exact		
Orbinia cuvieri	Orbinia sertulata	phonetic		
Orbinia norvegica	Phylo norvegicus	Exact		
Orchomene nana	Tryphosa nana	exact		
Orchomenella nana	Tryphosa nana	exact		
ORTHOCLADIINAE	Orthocladiinae	felstav		
ostracoda	Ostracoda	felstav		
OSTRACODA	Ostracoda	felstav		
Other	Biota	Special		
Other_unicellular_plankton	Biota	Special		
Others	Biota	Special		
Oxydromus flexousos	Oxydromus flexuosus	antag felstav		
Pallasea quadrispinosa	Pallaseopsis quadrispinosa	Exact		
Paludestrina jenkinsi	Potamopyrgus antipodarum	Exact		
Panomya arctica	Panomya norvegica	exact		
Paphia aurea	Polititapes aureus	Exact		
Parakiefferiella triquetra	Parakiefferiella smolandica	OK	235906	
Paramphinome jeffreysii	Paramphinome jeffreysii	antag felstav		
Paramphinone jeffreysi	Paramphinome jeffreysii	antag felstav		
Paramphinone jeffreysi	Paramphinome jeffreysii			
Paramphitrite tetrabranchiata	Paramphitrite tetrabranchia	Exact		
Paraonis	Cirrophorus			
Paraonis lyra	Paradoneis lyra	felstav		
Parasagitta elegans elegans	Sagitta elegans elegans	Exact		
Parasagitta setosa	Sagitta setosa	Exact		
Parathemisto abyssorum	Themisto abyssorum	Exact		
Parvicardium minimum	Papillicardium minimum	Exact		
Parvicardium ovale	Parvicardium pinnulatum	Exact		
Pectinaridae	Pectinariidae	Exact		
Pediastrum boryanum var. boryanum	Pseudopediastrum boryanum	exact		
Pediastrum duplex var. gracillimum	Lacunastrum gracillimum	exact		
Pediastrum kawraiskyi	Pseudopediastrum kawraiskyi	Exact		
Pediastrum privum	Stauridium privum	Exact		
Pediastrum tetras	Stauridium tetras	exact		
Peloscolex	Tubificoides	Exact		
Pennales	Bacillariophyceae	Exact		
Pennatula phosporea	Pennatula phosphorea	antag felstav		
Peridiniella catenat	Peridiniella catenata	antag felstav		
Peridiniopsis penardiforme	Peridiniopsis penardiformis	Exact		
Peridinium achromaticum	Protoperidinium achromaticum	antag felstav		
Peridinium inconspicuum	Parvodinium inconspicuum	Exact		
Peridinium quinquecorne	Peridinium quadridentatum	Exact		
Peridinium umbonatum	Parvodinium umbonatum	Exact		
Phacus pyrum	Monomorphina pyrum	Exact		
Phaeophyceae/Rhodophyta	Algae	antag felstav		
Phalachroma rotundatum	Phalacroma rotundatum	antag felstav		
Phascolion (Phascolion) strombus strombus	Phascolion strombus			
Phascolion strombi	Phascolion strombus	Exact		
Phaxas pellucida	Phaxas pellucidus	Exact		
Pherusa falcata	Lamispina falcata			
Philbertia	Raphitoma	exact		
Philbertia linearis	Raphitoma linearis	Exact		
Philine aperta	Philine quadripartita	Exact		
Philine scabra	Hermania scabra	Exact		
Philomedes globosus	Philomedes brenda	Exact		
Phoca hispida	Pusa hispida	Exact		
Phocoena phoceana	Phocoena phocoena	felstav		
Phoronis mulleri	Phoronis muelleri	antag felstav		
Phoxocephalus holboelli	Phoxocephalus holbolli	antag felstav		
PHRYGANEIDAE	Phryganeidae	felstav		
Phyllodoce	Polyodontes	OK	1007451	
Phylo kupferi	Phylo kupfferi	Exact		
Phylo norvegica	Phylo norvegicus	Exact		
Picoplankton	Picoplankton			
Pilayella littoralis	Pylaiella littoralis	Exact		
PISCICOLA SP	Piscicola			
Pisida longicornis	Pisidia longicornis	antag felstav		
Pisidiidae	Sphaeriidae	Exact		
Pistella lornensis	Pista lornensis	Exact		
#Plagioselmis prolonga	Teleaulax amphioxeia			Båda accepterade i PEG och i Worms
Planctonema lauterbornii	Binuclearia lauterbornii	Exact		
Planktolyngbya subtilis	Planktolyngbya limnetica	Exact		
Planorbis corneus	Planorbarius corneus	Exact		
Platyhelmintes	Platyhelminthes	antag felstav		
Pleopis polyphaemoides	Podon polyphemoides	antag felstav		
Pleopsis polyphemoides	Podon polyphemoides	Exact		
Pleurochrysis carterae	Chrysotila carterae	Exact		
Pleuronectes platessa/Limanda limanda	Pleuronectidae			
Pleuronectes platessa/Platichthys flesus	Pleuronectidae			
Podarkeopsis helgolandica	Podarkeopsis helgolandicus	antag felstav		
Podoceropsis nitida	Gammaropsis nitida	Exact		
Podon leuckarti	Podon leuckartii	Exact		
Podon leukartii	Podon leuckartii	antag felstav		
Polinices montagui	Euspira montagui	Exact		
Polinices pulchella	Euspira nitida	Exact		
Polinices pulchellus	Euspira nitida	Exact		
Polybius holsatus	Liocarcinus holsatus	Exact		
POLYCENTROPODIDAE	Polycentropodidae	felstav		
Polydora caeca	Dipolydora coeca	Exact		
Polydora caulleryi	Dipolydora caulleryi	Exact		
Polydora cliata	Polydora ciliata	antag felstav		
Polydora coeca	Dipolydora coeca	Exact		
Polydora flava	Dipolydora flava	Exact		
Polydora quadrilobata	Dipolydora quadrilobata	Exact		
Polydora sp (cf ciliata)	Polydora	antag felstav		
Polyides rotundus	Polyides rotunda	antag felstav		
Polykrikos schwarzii	Polykrikos kofoidii	Exact		
Polymastia spp.	Polymastia	felstav		
Polynoe kinbergi	Enipo kinbergi	Exact		
Polysiphonia brodiaei	Polysiphonia brodiei	Exact		
Polysiphonia/Ceramium	Rhodymeniophycidae	antag felstav		
Pomatoceros triqueter	Spirobranchus triqueter	Exact		
Pompholyx	Scleroderma	OK	1001311	
Pontoporeia affinis	Monoporeia affinis	Exact		
Porifera 5	Porifera	felstav		
Porifera1	Porifera	felstav		
Porifera2	Porifera	felstav		
Porifera4	Porifera	felstav		
Potamogeton filiformis	Stuckenia filiformis	Exact		
Potamogeton gramineus x perfoliatus	Potamogeton gramineus × perfoliatus	Exact		
Potamogeton gramineus x perfoliatus	Potamogeton gramineus × perfoliatus	felstav		
Potamogeton pectinatus	Stuckenia pectinata	Exact		
Potamogeton vaginatus	Stuckenia vaginata	Exact		
Potamopygrus antipodarum	Potamopyrgus antipodarum	antag felstav		
Potamopyrgus antopodarum	Potamopyrgus antipodarum	antag felstav		
Potamopyrgus jenkinsi	Potamopyrgus antipodarum	Exact		
Prasinophyceae	Pyramimonadophyceae	Exact		
Prasinophyceae (Micromonadophyceae)	Prasinophyceae	antag felstav		
PRAUNUS SP.	Praunus			
Praxilella praetermissa	Praxillella praetermissa	antag felstav		
Prionospia dubia	Prionospio dubia	Exact		
Prionospio banyulensis	Aurospio banyulensis	Exact		
Prionospo banyulensis	Prionospio banyulensis	antag felstav		
Proboscia alata var. indica	Proboscia	antag felstav		
Proclea graffi	Proclea graffii	antag felstav		
Proclea graffiii	Proclea graffii	antag felstav		
Prorocentrum minimum	Prorocentrum cordatum	Exact		
Prostoma obscurum	Cyanophthalma obscura	Exact		
Prostomes	Prostomatea	antag felstav		
Proterythropsis vigilans	Nematopsides vigilans	exact		
Protoctista	Biota	Special		
Protodinium simplex	Gymnodinium simplex	antag felstav		
Protomedia fasciata	Protomedeia fasciata	antag felstav		
Protoperidinium marielebourae	Protoperidinium marielebouriae	Exact		
Protoperidinium marie-lebouriae	Protoperidinium marielebouriae	felstav		
Protoperidinium minutum	Archaeperidinium minutum	Exact		
Protoperidinium quinquecorne	Peridinium quadridentatum	Exact		
Prymnesiophyceae	Coccolithophyceae	Exact		
Psetta maxima	Scophthalmus maximus	Exact		
Pseudamussium septemradiatum	Pseudamussium peslutrae	Exact		
Pseudeulalia exigua	Protomystides exigua	Exact		
Pseudione callanassae	Pseudione callianassae	antag felstav		
Pseudobodo	Pseudobobo	Exact		
Pseudobodo tremulans	Pseudobobo tremulans	Exact		
Pseudocalanus minutus elongatus	Pseudocalanus elongatus	exact		
Pseudocuma gilsoni	Monopseudocuma gilsoni	Exact		
Pseudolithoderma sp.	Pseudolithoderma	felstav		
Pseudopedinella pyriforme	Pseudopedinella pyriformis	Exact		
Psilaster andromeda/Pseudarchaster parelii	Asteroidea			
Psolus panthapus	Psolus phantapus	antag felstav		
PSYCHOMYIIDAE	Psychomyiidae	felstav		
Pusillina sarsi	Pusillina sarsii	Exact		
Pylaiella littoralis/Ectocarpus	Ectocarpus/Pylaiella	antag felstav		
Pylaiella littoralis/Ectocarpus	Ectocarpus/Pylaiella		233758	Artkomplex
Pyramimona	Pyramimonas	antag felstav		
Pyrophacus horologicum	Pyrophacus horologium	Exact		
Pyura tesselata	Pyura tessellata	Exact		
Radiolaria	Radiozoa			
Radiospermum	Radiosperma	Exact		
Radix balthica	Ampullaceana balthica	Exact		
Radix labiata	Peregriana labiata	Exact		
Radix ovata	Ampullaceana balthica	Exact		
Radix peregra	Peregriana labiata	Exact		
Ranunculus peltatus baudotii	Ranunculus baudotii		224928	
Ranunculus peltatus ssp. baudotii	Ranunculus baudotii	Exact		
Ranunculus peltatus ssp. peltatus	Ranunculus peltatus agg.			
Ranunculus peltatus subsp. Baudoti	Ranunculus baudotii	felstav		
Ranunculus peltatus subsp. baudotii	Ranunculus baudotii	Exact		
Ranunculus peltatus subsp. Baudotii	Ranunculus baudotii	Exact		
Ranunculus peltatus subsp. peltatus	Ranunculus peltatus agg.			
Rhizomonas	Solenicola	Exact		
Rhizomonas setigera	Solenicola setigera	Exact		
Rhizosolenia eriensis	Urosolenia eriensis	OK	237463	
Rhizosolenia hebetata f, semispina	Rhizosolenia hebetata f. semispina	felstav		
Rhizosolenia longiseta	Urosolenia longiseta	OK	237464	
Rhizosolenia setigera f, pungens	Rhizosolenia setigera f. pungens	felstav		
Rhizsolenia setigera	Rhizosolenia setigera	antag felstav		
Rhodomonas lacustris v. lacustris	Rhodomonas lacustris var. lacustris			
Rhodomonas lacustris v. nannoplanctica	Plagioselmis nannoplanctica			"Finns i Dyntaxa som: Plagioselmis nannoplanctica, med ""Rhodomonas lacustris v. nannoplanctica"" som synonym"
Rhodophyceae	Rhodophyta	exact		
Roxania uhiculus	Roxania utriculus	antag felstav		
Ruppia cirrhosa	Ruppia spiralis	Exact		
Ruppia/Zannichellia	Ruppia agg.		6020436	Artkomplex
Ruppia/Zannichellia palustris/Stuckenia pectinata	Alismatales	antag felstav		
Sabella penicillus	Sabella pavonina	Exact		
SABELLIDAE	Sabellidae			
Sabellides octocirrata	Ampharete octocirrata	Exact		
Sagittaria natans x sagittifolia	Sagittaria natans × sagittifolia	Exact		
Sagittaria natans x sagittifolia	Sagittaria natans × sagittifolia	felstav		
Saxicavella jeffreysii	Saxicavella jeffreysi	antag felstav		
Scenedesmus acuminatus	Tetradesmus lagerheimii	Exact		
Scenedesmus arcuatus	Comasiella arcuata	Exact		
Scenedesmus arcuatus var. arcuatus	Comasiella arcuata var. arcuata	Exact		
Scenedesmus dimorphus	Tetradesmus dimorphus	exact		
Scenedesmus obliquus	Tetradesmus obliquus	exact		
Scenedesmus quadricauda	Desmodesmus communis	OK	6001101	
Schistomeringos eliasoni	Parougia eliasoni	Exact		
Schoenoplectus tabernaemontan	Schoenoplectus tabernaemontani	felstav		
Scionella lornensis	Pista lornensis	Exact		
Scolecithridae	Scolecithricidae	antag felstav		
scolelepis squamata	Scolelepis squamata	felstav		
Scrippsiella acuminata	Scrippsiella trochoidea	antag felstav		
Scuticociliate	Scuticociliatia	antag felstav		
Scypha	Sycon	exact		
Scypha ciliata	Sycon ciliatum	exact		
Selenastrum gracile	Messastrum gracile	exact		
Siphomnophora	Siphonophorae	antag felstav		
Siphonocetes coletti	Centraloecetes kroyeranus			
Siphonoecetes colletti	Centraloecetes kroyeranus			
Siphonoecetes kroeyeranus	Centraloecetes kroyeranus	Exact		
Siphonoecetes kroeyeranus	Centraloecetes kroyeranus			
Siphonophora	Siphonophorae	Exact		
Skorpbildande alger	Rhodophyta	antag felstav		
Solea Solea	Solea solea	felstav		
Sosanopsis wireni	Sosane wireni	Exact		
Spatangoides	Spatangoida	felstav		
Spathulodinium pseudonoctiluca	Spatulodinium pseudonoctiluca	Exact		
Spermothamnion/Bonnemaisonia	Rhodymeniophycidae			
Sphacelaria bipinnata	Sphacelaria cirrosa	Exact		
Sphacelaria caespitula	Sphaceloderma caespitula	Exact		
Sphacelaria plumosa	Chaetopteris plumosa	Exact		
Sphaerodoropsis minuta	Sphaerodoridium minutum	Exact		
Sphaeroma hookeri	Lekanesphaera hookeri			
Sphaerosyllis tetralix	Prosphaerosyllis tetralix			
Spiophanes kroyeri	Spiophanes kroyeri	antag felstav		
Spiophanes kröyeri	Spiophanes kroyeri	antag felstav		
Spiophanes kröyeri	Spiophanes kroyeri			
Spirontocaris lilljeborgi	Spirontocaris liljeborgii	Exact		
Spirorbidae	Spirorbinae	Exact		
Staurosira berolinensis	Belonastrum berolinense	Exact		
Stenula rubrovittata	Metopa rubrovittata	Exact		
Stichastella rosea	Stichastrella rosea	felstav		
Stichopus tremulus	Parastichopus tremulus	Exact		
Streblosoma intestinalis	Streblosoma intestinale	Exact		
Streblospio benedicti s.lat.	Streblospio benedicti	exact		
Streblospio schrubsoli	Streblospio shrubsolii	antag felstav		
Strobilidium epacrum	Pelagostrobilidium epacrum	Exact		
Strobilidium spiralis	Strobilidium spiralis	hårt mellanslag		
Strombidium coronatum	Spirostrombidium sauerbreyae			Finns i worms som synonym till Spirostrombidium sauerbreyae. Båda har AphiaID, ingen finns i dyntaxa
Strålfeniga fiskar (stim)	Actinopterygii			Klass
Suberites luetkeni	Suberites virgultosus	Exact		
Syllides longocirrata	Syllides longocirratus	felstav		
Synchelidium haplocheles	Synchelidium tenuimanum	OK	243791	
Synedra acus	Ulnaria acus	OK	248618	
Synedra acus var. acus	Ulnaria acus	Exact		
Synedra acus var. angustissima	Ulnaria delicatissima var. angustissima	Exact		
Synedra berolinensis	Synedra berolinensis var. berolinensis	exact		
Synedra delicatissima var. angustissima	Ulnaria delicatissima var. angustissima			"Finns i Worms som synonym till ""Ulnaria delicatissima var. Angustissima"" som i sin tur finns i Dyntaxa"
Synedra ulna var. ulna	Ulnaria ulna	Exact		
Synelmis klatti	Glyphohesione klatti	Exact		
TANYPODINAE	Tanypodinae	felstav		
TANYTARSINI	Tanytarsini	felstav		
Taranis cirrata	Taranis moerchii	Exact		
Tectura testudinalis	Testudinalia testudinalis	Exact		
Tellina fabula	Fabulina fabula	Exact		
Tellina pygmaea	Asbjornsenia pygmaea	Exact		
Tellina tenuis	Macomangulus tenuis	Exact		
Telonema antarctica	Telonema antarcticum	Exact		
Temora stylifera	Temora	antag felstav		
Tenellia tergipes	Tergipes tergipes	Exact		
Terebellides stroemi	Terebellides stroemii	Exact		
Tetra?dron caudatum	Tetraedron caudatum	antag felstav		
Tetraedriella jovetii	Tetraëdriella jovetii	Exact		
Tetraedron caudatum	Tetraëdron caudatum	exact		
Tetraedron minimum	Tetraëdron minimum	OK	257945	
Tetraëdron tetraedron minimum	Tetraëdron minimum	antag felstav		
Tetraedron triangulare	Tetraëdron triangulare	exact		
Tetrastrum staurogeniaeforme	Tetrastrum staurogeniiforme	Exact		
Thalassiosira anguste-lineata	Thalassiosira angustelineata	Exact		
Thalassiosira constricta	Bacterosira constricta	Exact		
Thalassiosira weissflogii	Conticribra weissflogii	Exact		
Tharyx marioni	Aphelochaeta marioni	Exact		
Tharyx mcintoshi	Aphelochaeta mcintoshi	Exact		
Tharyx multibranchis	Aphelochaeta multibranchis	Exact		
Thecosomata	Euthecosomata	OK	6002542	
Thecosomatida	Euthecosomata	OK	6002542	
Thracia papyracea	Thracia phaseolina	Exact		
Thyasira equalis	Parathyasira equalis	Exact		
Thyasira eumyaria	Genaxinus eumyarius	Exact		
Thyasira flexuosus	Thyasira flexuosa	antag felstav		
Thyasira sarsi	Thyasira sarsii	felstav		
Tintinida	Tintinnidae	antag felstav		
Tintinidae	Tintinnidae	antag felstav		
Tintinnina	Tintinnida	Exact		
Tintinnopsis corniger	Rhizodomus tagatzi			lägga till släkte i whitelist
Tonicella rubra	Boreochiton ruber	Exact		
Trachythyone elongata	Leptopentacta elongata	Exact		
TRICHOPTERA	Trichoptera	felstav		
Triglopsis quadricornis	Myoxocephalus quadricornis	Exact		
Tubificidae	Naididae	exact		
TUBIFICIDAE	Naididae			
Tubificoides benedeni	Edukemius benedii	Exact		
Tubularia larynx	Ectopleura larynx	exact		
Turbellaria indet	Turbellaria	Pseudotaxon	4000150	
Turbonilla crenata	Pyrgiscus crenatus	Exact		
Turbonilla fulvocincta	Pyrgiscus crenatus	exact		
Turitella communis	Turritella communis	antag felstav		
Turitella communis	Turritellinella tricarinata			
Typosyllis	Syllis	exact		
Typosyllis cornuta	Syllis cornuta	Exact		
Typosyllis variegata	Syllis variegata	Exact		
Ulnaria ulna	Synedra ulna var. subcontracta	exact		
Ulnaria ulna var. acus	Ulnaria acus	Exact		
Ulva procera/prolifera	Ulva			
Unicells	Unicell	antag felstav		
Unicells and flagellates	Unicells and flagellates			
Unicells and flagellates species incertae sedis	Unicells and flagellates			
Unicells species incertae sedis	Unicell			
Unicells_and_flagellates	Unicells and flagellates	antag felstav		
Unicells_and_flagellates	Unicells and flagellates			
Unidentified zoopl.	Animalia	Special		
Urochordata	Tunicata	Exact		
Uroglena americana	Uroglenopsis americana	exact		
Vanella	Vannella	Exact		
Varicorbula gibba	Corbula gibba	Exact		
Venus fasciata	Clausinella fasciata	Exact		
Venus gallina	Chamelea striatula	Exact		
Venus gallina striatula	Chamelea striatula	antag felstav		
Verrucophora farcimen	Pseudochattonella farcimen	Exact		
Vertebrata	Animalia	Special		
Vitreolina philippii	Vitreolina philippi	felstav		
Westwoodilla acutifrons	Westwoodilla caecula	Exact		
Westwoodilla hyalina	Westwoodilla caecula	Exact		
Woloszynskia halophila	Biecheleria halophila	Exact		
Xanthidium antilopeum	Xanthidium antilopaeum			
Yoldiella fraterna	Yoldiella nana	exact		
yoldiella tenuis	Yoldiella philippiana	Exact		
Yoldiella tenuis	Yoldiella philippiana	Exact		
Zannichellia palustris var. major	Zannichellia major	Exact		
Zannichellia palustris var. repens	Zannichellia palustris var. palustris	Exact		
Zannichellia palustris/Stuckenia pectinata	Potamogetonaceae	antag felstav		
Zannichellia/Ruppia/Stuckenia pectinata/Zostera marina	Alismatales			
Zoealarve	Decapoda			
Ulva compressa/intestinalis	Ulva			
Apedinella spinifera	Apedinella radians			
Dinophyta	Dinophyceae			
Pareuchaeta	Paraeuchaeta			
Pseudocumidae	Pseudocumatidae			
