taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
Aphanothece clathrata	Anathece clathrata	Exact		
Aphanothece minutissima	Anathece minutissima	Exact		
Aphrodite aculeata	Aphrodita aculeata	antag felstav		
Apocalathium malmogiense	Scrippsiella hangoei	antag felstav		
Aporrhais pespelicani	Aporrhais pespelecani	antag felstav		
Aporrhais pespelicanis	Aporrhais pespelecani	Exact		
Appendicullaria	Appendicularia	antag felstav		
Arcturella dilatata	Astacilla dilatata	Exact		
Aricidea cerutti	Aricidea cerrutii	antag felstav		
Aricidea jeffreysi	Aricidea cerrutii	Exact		
Aricidea lyra	Paradoneis lyra	Exact		
Aricidea suecica	Aricidea (Strelzovia) suecica	exact_subgenus		
Artacama proboscoidea	Artacama proboscidea	antag felstav		
Ascidella scabra	Ascidiella scabra	antag felstav		
Astacilla affinis	Astacilla intermedia	Exact		
Asterias rubens/Leptasterias muelleri	Asteriidae			
Asterope norvegica	Prionotoleberis norvegica	exact		
Astrorhiza arenaria/Pelosina arborescens	Astrorhizidae			
Athanas nitiscens	Athanas nitescens	antag felstav		
Athecata	Anthoathecata	Exact		
ATHRIPSODES SP.	Athripsodes	felstav		
Atylus swammerdami	Nototropis swammerdami	Exact		
Atylus vedlomensis	Nototropis vedlomensis	Exact		
Aulacoseira islandica ssp. helvetica	Aulacoseira islandica subsp. helvetica	Exact		
Aulacoseira islandica ssp. islandica	Aulacoseira islandica subsp. islandica	Exact		
Axinella	Phakellia	OK	1005212	
Axinella infundibuliformis / Phakellia ventilabrum	Axinella infundibuliformis/Phakellia ventilabrum		6020449	Artkomplex
Axinella infundibuliformis/Phakellia ventilabrum	Axinella infundibuliformis/Phakellia ventilabrum		6020449	Artkomplex
Balanus improvis	Amphibalanus improvisus	antag felstav		
Balanus improvisus	Amphibalanus improvisus	exact		
Balcis devians	Vitreolina philippi sensu Warén	Exact	233612	
Balcis philippi	Vitreolina philippi sensu Warén	Exact	233612	
Barrufata resplendens	Barrufeta resplendens	felstav		
Batrachium baudottii	Ranunculus baudotii		224928	
Bela brachystoma	Sorgenfreispira brachystoma	Exact		
Beröe cucumis	Beroe cucumis	Exact		
Bivalvia (Lamellibranchiata)	Bivalvia	antag felstav		
Bonnemaisonia hamifera / Spermothamnion repens	Bonnemaisonia hamifera/Spermothamnion repens		235007	Artkomplex
Bosmina (Eubosmina) coregoni	Bosmina coregoni	Exact		
Bosmina coregoni longirostris	Bosmina coregoni	antag felstav		
Bosmina coregoni maritima	Bosmina longispina maritima	Exact		
Bosmina maritima	Bosmina longispina maritima	Exact		
Botryllus schlosseri / Botrylloides leachii	Botryllus schlosseri/Botrylloides leachii		6020448	Artkomplex
Branchistoma	Branchiostoma	Exact		
Buccinum undatum / Neptunea antiqua	Buccinum undatum/Neptunea antiqua	antag felstav		
Buccinum undatum / Neptunea antiqua	Buccinum undatum/Neptunea antiqua	felstav	6020450	Artkomplex
Byblis gaimardi	Byblis gaimardii	Exact		
Bylgides groenlandica	Bylgides groenlandicus	Exact		
Calianassa subteranea	Callianassa subterranea	antag felstav		
Calianassa subterranea	Callianassa subterranea	Exact		
Calliannassa subteranea	Callianassa subterranea	antag felstav		
Callophyllis cristata	Euthora cristata	Exact		
Camptochironomus	Chironomus (Camptochironomus)	Exact		
Caprellidea	Caprelloidea	exact		
Cardium echinatum	Acanthocardia echinata	Exact		
Cardium minimum	Papillicardium minimum	Exact		
Cardium ovale	Parvicardium pinnulatum	Exact		
Caulleriella killariensis	Tharyx killariensis	Exact		
Caulleriella zetlandica	Chaetozone zetlandica	Exact		
Centrales	Coscinodiscophyceae			
Cephalochordata (Branchiostoma)	Branchiostoma	antag felstav		
CERACLEA SP.	Ceraclea	felstav		
Ceramium rubrum	Ceramium virgatum	Exact		
Ceramium strictum	Ceramium tenuicorne	Exact		
Ceramium/Polysiphonia	Ceramiales			
Ceratium bucephalum	Tripos bucephalus	Exact		
Ceratium furca	Tripos furca	Exact		växtplankton
Ceratium fusus	Tripos fusus	Exact		växtplankton
Ceratium horridum	Tripos horridus	Exact		växtplankton
Ceratium lineatum	Tripos lineatus	Exact		växtplankton
Ceratium longipes	Tripos longipes	Exact		växtplankton
Ceratium macroceros	Tripos macroceros	Exact		växtplankton
Ceratium minutum	Tripos minutus	Exact		växtplankton
Ceratium tripos	Tripos muelleri	Exact		växtplankton
Ceratoneis closterium	Cylindrotheca closterium	Exact		
CERATOPOGONIDAE	Ceratopogonidae	felstav		
Cercopagis (Cercopagis) pengoi	Cercopagis pengoi	antag felstav		
Cerianthus lloydiii	Cerianthus lloydii	antag felstav		
cf Woronichinia	Woronichinia			cf ska flyttas till QFLAG
Chaetoceros cf. seiracanthus	Chaetoceros seiracanthus			
Chaetoceros didymus var. protuberans	Chaetoceros protuberans	Exact		
Chaetoceros radians	Chaetoceros socialis		353271	
Chaetoceros socialis f. radians	Chaetoceros socialis		353271	
Chaetoceros socialis f. socialis	Chaetoceros socialis		353271	
Chaetoceros throndsenii v. throndseinii	Chaetoceros throndsenii var. throndsenii	antag felstav		
Chaetoceros throndsenii var, throndseinii	Chaetoceros throndsenii var. throndsenii	antag felstav		
Chaetoceros throndsenii var. Throndseinii	Chaetoceros throndsenii var. throndsenii	antag felstav		
Chaetoceros socialis f. socialis	Chaetoceros socialis		353271	
Chaetocladius	Chaetocladus	phonetic		
Chaetodermomorpha	Caudofoveata	Exact		
Chaetogammarus marinus	Echinogammarus marinus	Exact		
Chaetomorpha melangonium	Chaetomorpha melagonium	antag felstav		
Chaetopterus frgm	Chaetopterus 	antag felstav		
Chamelea gallina	Chamelea striatula	Exact		
CHAOBORIDAE	Chaoboridae	felstav		
Chaoborus	Chaoborus (Chaoborus)	OK	251641	
Chattonella verruculosa	Pseudochattonella verruculosa	Exact		
Cheirocrathus sundevalli	Cheirocratus sundevalli	antag felstav		
Cheirocrathus sundevalli	Cheirocratus sundevallii	felstav		
Cheirocratus sundevalli	Cheirocratus sundevallii	Exact		
Chelidonichthys gurnardus	Eutrigla gurnardus	Exact		
Chironemidae	Chironomidae	antag felstav		
CHIRONOMIDAE	Chironomidae	felstav		
CHIRONOMINAE	Chironominae	felstav		
CHIRONOMINI	Chironomini	felstav		
Chlamys septemradiatus	Pseudamussium peslutrae	Exact		
