TaxonId	Svenskt namn	Vetenskapligt namn	Organismgrupp	Kategori	Observationer	Landskapstyp	Rödlistekategori	Rödlistekriterium
102683	blomdyrkarbi	Rophites quinquespinosus	stekel, insekt	Art	13	Jordbrukslandskap (J) - Stor betydelse	RE	
220583	vattenfräne	Rorippa amphibia	kärlväxt	Art	1500	Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse	NT	A2b
1396	finnros	Rosa acicularis	kärlväxt	Art	307	Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse	VU	D2
1397	åkerros	Rosa agrestis	kärlväxt	Art	85	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	CR	D
1399	ryssros	Rosa marginata	kärlväxt	Art	1	Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse	RE	
232135	sydäppelros	Rosa micrantha	kärlväxt	Art	108	Jordbrukslandskap (J) - Stor betydelse	CR	D
1401	pimpinellros	Rosa spinosissima	kärlväxt	Art	2674	Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	RE	
1400	flikros	Rosa tomentella	kärlväxt	Art	835	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	NT	B2a; D1
1912	filtros	Rosa tomentosa	kärlväxt	Art	73	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	CR	D
1398	västkustros	Rosa × inodora	kärlväxt	Art	885	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse	EN	D
101721	alpbock	Rosalia alpina	skalbaggar, insekt	Art	7	Skog (S) - Stor betydelse	RE	
232814	bred snörptråd	Rosenvingiellopsis constricta	alg	Art	2	Havsstrand (H) - Stor betydelse, Brackvatten (B) - Har betydelse, Marin miljö (M) - Har betydelse	DD	
218185	röd glasögonnuding	Rostanga rubra	blötdjur	Art	2	Marin miljö (M) - Stor betydelse	DD	
2080	skorpgelélav	Rostania occultata	svamp, lav	Art	768	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse	NT	A2bc+3bc+4bc
218100	sjökanin	Roxania utriculus	blötdjur	Art	27	Marin miljö (M) - Stor betydelse	NT	B1ab(iii)
218186	prickig kamnuding	Rubramoena amoena	blötdjur	Art	0	Marin miljö (M) - Stor betydelse	EN	D
156	falsk djävulssopp	Rubroboletus legaliae	svamp	Art	96	Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse	VU	D1
160	rosensopp	Rubroboletus rhodoxanthus	svamp	Art	34	Skog (S) - Stor betydelse	EN	D
161	djävulssopp	Rubroboletus satanas	svamp	Art	538	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse	EN	C2a(i)
1403	skånebjörnbär	Rubus axillaris	kärlväxt	Art	500	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse	NT	D1
223133	banbjörnbär	Rubus bifrons	kärlväxt	Art	105	Urban miljö (U) - Stor betydelse	EN	B1ab(iv,v)+2ab(iv,v)
267005	ugglarpsbjörnbär	Rubus cordatiformis	kärlväxt	Art	164	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	VU	D1
1404	karakåsbjörnbär	Rubus dasyphyllus	kärlväxt	Art	91	Jordbrukslandskap (J) - Stor betydelse	RE	
1913	fintandat björnbär	Rubus decurrentispinus	kärlväxt	Art	131	Jordbrukslandskap (J) - Stor betydelse	VU	D1
1914	bohusbjörnbär	Rubus dissimulans	kärlväxt	Art	289	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	VU	D1
1405	glansbjörnbär	Rubus divaricatus	kärlväxt	Art	316	Jordbrukslandskap (J) - Stor betydelse	VU	D1
223143	engelskt björnbär	Rubus echinatus	kärlväxt	Art	50	Urban miljö (U) - Stor betydelse, Skog (S) - Har betydelse	VU	D1
1915	slätbjörnbär	Rubus eluxatus	kärlväxt	Art	346	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	NT	D1
1916	borstbjörnbär/uddbjörnbär	Rubus fabrimontanus	kärlväxt	Art	111	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	VU	D1
232136	slokbjörnbär	Rubus flaccidifolius	kärlväxt	Art	46	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	EN	D
235139	franskt björnbär	Rubus gillotii	kärlväxt	Art	24	Havsstrand (H) - Stor betydelse	CR	D
235138	knölbjörnbär	Rubus horrefactus	kärlväxt	Art	16	Urban miljö (U) - Stor betydelse	CR	D
1922	naggbjörnbär	Rubus lamprocaulos	kärlväxt	Art	435	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	NT	D1
1924	bergumsbjörnbär	Rubus loehrii	kärlväxt	Art	55	Jordbrukslandskap (J) - Stor betydelse	CR	D
223168	bergbjörnbär	Rubus montanus	kärlväxt	Art	76	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse	EN	D
1413	grönbladsbjörnbär	Rubus muenteri	kärlväxt	Art	747	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	NT	D1
267006	buerabjörnbär	Rubus onsalaënsis	kärlväxt	Art	56	Jordbrukslandskap (J) - Stor betydelse	EN	D
6005228	mollösundsbjörnbär	Rubus oredssonii	kärlväxt	Art	140	Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse	VU	D1
1411	blomsterbjörnbär	Rubus polyanthemus	kärlväxt	Art	538	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	NT	D1
267009	onsalabjörnbär	Rubus polybracteatus	kärlväxt	Art	59	Jordbrukslandskap (J) - Stor betydelse	EN	D
1926	hallonbjörnbär	Rubus pruinosus	kärlväxt	Art	690	Jordbrukslandskap (J) - Stor betydelse	EN	D
1412	pyramidbjörnbär	Rubus pyramidalis	kärlväxt	Art	206	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	EN	D
267008	rydetbjörnbär	Rubus rugulosus	kärlväxt	Art	70	Jordbrukslandskap (J) - Stor betydelse	EN	D
1928	skuggbjörnbär	Rubus sciocharis	kärlväxt	Art	90	Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse	EN	D
1410	åsljungabjörnbär	Rubus scissoides	kärlväxt	Art	87	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	VU	D1
1414	nålbjörnbär	Rubus scissus	kärlväxt	Art	656	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	NT	D1
1415	nordbjörnbär	Rubus septentrionalis	kärlväxt	Art	422	Jordbrukslandskap (J) - Stor betydelse	NT	D1
256553	kilbjörnbär	Rubus silvaticus	kärlväxt	Art	47	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse	EN	D
267007	söndrumsbjörnbär	Rubus soendrumensis	kärlväxt	Art	88	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	EN	D
264501	steningebjörnbär	Rubus sordirosanthus	kärlväxt	Art	182	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	NT	D1
1416	sprengelsbjörnbär	Rubus sprengelii	kärlväxt	Art	538	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse	NT	D1
232137	grovtaggigt björnbär	Rubus steracanthos	kärlväxt	Art	53	Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse	EN	B1ab(iii,v)+2ab(iii,v); D
1417	västerviksbjörnbär	Rubus vestervicensis	kärlväxt	Art	82	Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse	CR	D
1418	rundbladsbjörnbär	Rubus vestitus	kärlväxt	Art	348	Jordbrukslandskap (J) - Stor betydelse	NT	D1
1419	smålandsbjörnbär	Rubus vigorosus	kärlväxt	Art	230	Urban miljö (U) - Stor betydelse, Skog (S) - Har betydelse	CR	B1ab(iii,v)+2ab(iii,v); C2a(i); D
1930	polabiskt björnbär	Rubus walsemannii	kärlväxt	Art	257	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	NT	D1
6035014	bjärebjörnbär	Rubus wendtii	kärlväxt	Art	111	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse	VU	D1
228476	atlantorangelav	Rufoplaca tristiuscula	svamp, lav	Art	6	Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse	DD	
101722	tuvklotspindel	Rugathodes instabilis	palpkäke	Art	14	Våtmark (V) - Stor betydelse	NT	B2ab(iii)
3192	lilamusseron	Rugosomyces ionides	svamp	Art	45	Skog (S) - Stor betydelse	VU	D1
3193	purpurmusseron	Rugosomyces obscurissimus	svamp	Art	14	Skog (S) - Stor betydelse	NT	D1
3194	onyxmusseron	Rugosomyces onychinus	svamp	Art	57	Skog (S) - Stor betydelse	NT	C2a(i)
223985	smal ängssyra	Rumex acetosa var. serpentinicola	kärlväxt	Varietet	69	Skog (S) - Stor betydelse	NT	
223989	sandsyra	Rumex acetosella subsp. arenicola	kärlväxt	Underart	63	Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Sötvatten (L) - Har betydelse, Urban miljö (U) - Har betydelse	NT	B2ab(v)
1420	dikesskräppa	Rumex conglomeratus	kärlväxt	Art	690	Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse	EN	A2b; B2ab(ii,iii,v)
102333	tallbarkbrunbagge	Rushia parreyssii	skalbaggar, insekt	Art	29	Skog (S) - Stor betydelse	EN	B1ab(iii)
5831	sotkremla	Russula anthracina	svamp	Art	76	Skog (S) - Stor betydelse	DD	
5842	avenbokskremla	Russula carpini	svamp	Art	23	Skog (S) - Stor betydelse	NT	D1
2054	kortfotkremla	Russula curtipes	svamp	Art	102	Skog (S) - Stor betydelse	NT	D1
5851	fruktkremla	Russula decipiens	svamp	Art	110	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse	DD	
5858	korallkremla	Russula emeticicolor	svamp	Art	20	Skog (S) - Stor betydelse	VU	D1
248741		Russula fulvograminea	svamp	Art	8	Skog (S) - Stor betydelse	DD	
5879	laxkremla	Russula incarnata	svamp	Art	18	Skog (S) - Stor betydelse	VU	D1
1422	skönkremla	Russula laeta	svamp	Art	54	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	VU	C2a(i)
1424	honungskremla	Russula melliolens	svamp	Art	22	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse	VU	D1
2055	olivinkremla	Russula olivina	svamp	Art	42	Skog (S) - Stor betydelse	VU	A2c+3c+4c
5906	olivbrun kremla	Russula olivobrunnea	svamp	Art	31	Skog (S) - Stor betydelse	VU	A2c+3c+4c
5919	småkremla	Russula puellula	svamp	Art	19	Skog (S) - Stor betydelse	DD	
248761		Russula rubra	svamp	Art	18	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	DD	
2056	liten ekkremla	Russula rutila	svamp	Art	45	Skog (S) - Stor betydelse	NT	D1
2057	sandkremla	Russula torulosa	svamp	Art	94	Skog (S) - Stor betydelse	NT	C2a(i)
5945	brun läderkremla	Russula vinosobrunnea	svamp	Art	51	Skog (S) - Stor betydelse	NT	D1
5948	klibbkremla	Russula viscida	svamp	Art	20	Skog (S) - Stor betydelse	NT	D1
102005	sälggetingbock	Rusticoclytus pantherinus	skalbaggar, insekt	Art	178	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse	NT	B2ab(iii,iv)
232183		Rutylapa ruficornis	tvåvinge, insekt	Art	0	Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse	VU	B2ac(iv)
101717		Rypobius praetermissus	skalbaggar, insekt	Art	7	Havsstrand (H) - Stor betydelse	DD	
101724	vasspetsad sikelvinge	Sabra harpagula	fjäril, insekt	Art	117	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	NT	B2ab(iii,v)
220818	rödnörel	Sabulina rubella	kärlväxt	Art	164	Fjäll (F) - Stor betydelse	NT	B2ab(ii,iii,v); D1
1059	sandnörel	Sabulina viscosa	kärlväxt	Art	423	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	CR	B1ab(iv,v)+2ab(iv,v); C2a(i,ii); D
1429	fältnarv	Sagina apetala	kärlväxt	Art	332	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	VU	B2ab(i,iii,iv,v)
1431	tuvnarv	Sagina caespitosa	kärlväxt	Art	243	Fjäll (F) - Stor betydelse	NT	B2a
220900	strandnarv	Sagina maritima	kärlväxt	Art	1314	Havsstrand (H) - Stor betydelse	NT	A2b
220906	sylnarv	Sagina revelierei	kärlväxt	Art	1567	Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Våtmark (V) - Har betydelse	NT	A2b
220897	normansnarv	Sagina × normaniana	kärlväxt	Art	96	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse	VU	B2ab(iii,v)
219606	pilblad	Sagittaria sagittifolia	kärlväxt	Art	5941	Sötvatten (L) - Stor betydelse, Havsstrand (H) - Har betydelse	NT	A2bc
101727	sandpölskinnbagge	Saldula melanoscela	halvvinge, insekt	Art	2	Urban miljö (U) - Stor betydelse, Våtmark (V) - Stor betydelse	VU	B2b(iii)c(iv)
248318	vithövdat molnmott	Salebriopsis albicilla	fjäril, insekt	Art	15	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse	VU	B2b(iii)c(iv)
220908	glasört	Salicornia europaea	kärlväxt	Art	2215	Havsstrand (H) - Stor betydelse	NT	A3e; B2ab(ii,iii,iv,v)
1931	daggvide	Salix daphnoides	kärlväxt	Art	614	Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse, Sötvatten (L) - Har betydelse	VU	B2ab(iii,v)
1932	källblekvide	Salix hastata subsp. vegeta	kärlväxt	Underart	876	Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	VU	A2b; B2ab(ii,iii,v); C1+2a(i)
1432	ängssalvia	Salvia pratensis	kärlväxt	Art	567	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	VU	C1; D1
1433	kranssalvia	Salvia verticillata	kärlväxt	Art	665	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse	EN	B2ab(iii,v)
227482		Samytha sexcirrata	mask	Art	64	Marin miljö (M) - Stor betydelse	DD	
2658	snöcirkelmossa	Sanionia nivalis	mossa	Art	41	Fjäll (F) - Stor betydelse	NT	A3c; C2a(i)
101728	grön aspvedbock	Saperda perforata	skalbaggar, insekt	Art	1815	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	NT	A2c+3c; B2ab(iii,iv)
101729	dynstumpbagge	Saprinus immundus	skalbaggar, insekt	Art	14	Havsstrand (H) - Stor betydelse	EN	B2ab(iii)c(iv)
101730	backsvalestumpbagge	Saprinus rugifer	skalbaggar, insekt	Art	34	Havsstrand (H) - Stor betydelse, Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse	EN	B2ab(iii)
101731	smaragdstumpbagge	Saprinus virescens	skalbaggar, insekt	Art	23	Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse	EN	B2ab(iii)c(iv)
1438	slät taggsvamp	Sarcodon leucopus	svamp	Art	523	Skog (S) - Stor betydelse	EN	C2a(i)
5966	motaggsvamp	Sarcodon squamosus	svamp	Art	12720	Skog (S) - Stor betydelse	NT	A2c+3c+4c
1441	apeltagging	Sarcodontia crocea	svamp	Art	51	Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse	CR	D
230554	klotsporig skifferlav	Sarcogyne distinguenda	svamp, lav	Art	10	Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse	VU	D1
1445	bombmurkla	Sarcosoma globosum	svamp	Art	4811	Skog (S) - Stor betydelse	VU	A2c+3c+4c
1446	kronskål	Sarcosphaera coronaria	svamp	Art	257	Skog (S) - Stor betydelse	NT	D1
218837	torvgropspindel	Satilatlas britteni	palpkäke	Art	5	Våtmark (V) - Stor betydelse	NT	B2ab(iii)
101732	krattsnabbvinge	Satyrium ilicis	fjäril, insekt	Art	451	Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse	NT	B2ab(iii)
201122	almsnabbvinge	Satyrium w-album	fjäril, insekt	Art	3339	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse	NT	A3ce
101734		Saulcyella schmidtii	skalbaggar, insekt	Art	3	Skog (S) - Stor betydelse	EN	B2ab(iii)
100169	snedstreckad gökärtsmal	Sauterina hofmanniella	fjäril, insekt	Art	25	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse	NT	B2a
102995	buskskvätta	Saxicola rubetra	fågel	Art	250011	Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Fjäll (F) - Har betydelse	NT	A2ab
233849	svarthakad buskskvätta	Saxicola rubicola	fågel	Art	8541	Jordbrukslandskap (J) - Stor betydelse	VU°	D
1447	fjällbrud	Saxifraga cotyledon	kärlväxt	Art	504	Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse	NT	B2a
1448	myrbräcka	Saxifraga hirculus	kärlväxt	Art	1330	Våtmark (V) - Stor betydelse	NT	B2ab(ii,iii,iv)
1449	hällebräcka	Saxifraga osloënsis	kärlväxt	Art	7850	Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse	VU	A2ab
1934	oppdalsbräcka	Saxifraga × opdalensis	kärlväxt	Art	32	Fjäll (F) - Stor betydelse	VU	D1+2
