node.internal_key	SHARKarchive	LIMS	PhysicalChemical
TEMP.QFLAG.Total Nitrogen Tot-N	Q_NTOT	Q_NTOT	Q_NTOT
variable.COPY_VARIABLE.Silicate SiO3-Si.umol/l	SIO3-SI	SIO3-SI	SIO3-SI
TEMP.QFLAG.Silicate SiO3-Si	Q_SIO3-SI	Q_SIO3-SI	Q_SIO3-SI
variable.COPY_VARIABLE.Humus.ug/l	HUMUS	HUMUS	HUMUS
TEMP.QFLAG.Humus	Q_HUMUS	Q_HUMUS	Q_HUMUS
variable.COPY_VARIABLE.Chlorophyll-a bottle.ug/l	CPHL	CPHL	CPHL
TEMP.QFLAG.Chlorophyll-a bottle	Q_CPHL	Q_CPHL	Q_CPHL
variable.COPY_VARIABLE.Dissolved organic carbon DOC.umol/l	DOC	DOC	DOC
TEMP.QFLAG.Dissolved organic carbon DOC	Q_DOC	Q_DOC	Q_DOC
variable.COPY_VARIABLE.Particulate organic carbon POC.umol/l	POC	POC	POC
TEMP.QFLAG.Particulate organic carbon POC	Q_POC	Q_POC	Q_POC
variable.COPY_VARIABLE.Total organic carbon TOC.mg/l	TOC	TOC	TOC
TEMP.QFLAG.Total organic carbon TOC	Q_TOC	Q_TOC	Q_TOC
variable.COPY_VARIABLE.Particulate organic nitrogen PON.umol/l	PON	PON	PON
TEMP.QFLAG.Particulate organic nitrogen PON	Q_PON	Q_PON	Q_PON
variable.COPY_VARIABLE.Current direction.deca degrees	CURDIR	CURDIR	CURDIR
TEMP.QFLAG.Current direction	Q_CURDIR	Q_CURDIR	Q_CURDIR
variable.COPY_VARIABLE.Current velocity.cm/s	CURVEL	CURVEL	CURVEL
TEMP.QFLAG.Current velocity	Q_CURVEL	Q_CURVEL	Q_CURVEL
variable.COPY_VARIABLE.Lignin.mg/l	LIGNIN	LIGNIN	LIGNIN
TEMP.QFLAG.Lignin	Q_LIGNIN	Q_LIGNIN	Q_LIGNIN
variable.COPY_VARIABLE.Yellow substance.1/l	YELLOW	YELLOW	YELLOW
TEMP.QFLAG.Yellow substance	Q_YELLOW	Q_YELLOW	Q_YELLOW
variable.COPY_VARIABLE.Aluminium.ug/l	AL	AL	AL
TEMP.QFLAG.Aluminium	Q_AL	Q_AL	Q_AL
variable.COPY_VARIABLE.Urea.umol/l	UREA	UREA	UREA
TEMP.QFLAG.Urea	Q_UREA	Q_UREA	Q_UREA
variable.COPY_VARIABLE.Coloured dissolved organic matter CDOM.1/m	CDOM	CDOM	CDOM
TEMP.QFLAG.Coloured dissolved organic matter CDOM	Q_CDOM	Q_CDOM	Q_CDOM
